date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:52:21	13491/13491	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2001%20May%202025%2010:53:01%20GMT	https://kit.fontawesome.com/64ea9c0981.js	C:/Meus%20Sites/teste/kit.fontawesome.com/64ea9c0981.js	(from https://playiptv.club/)
07:52:21	5830/5830	---M--	200	added ('OK')	image/webp	date:Fri,%2013%20Oct%202023%2003:50:22%20GMT	https://playiptv.club/img/logo/logo.webp	C:/Meus%20Sites/teste/playiptv.club/img/logo/logo.webp	(from https://playiptv.club/)
07:52:21	21844/21844	---M--	200	added ('OK')	image/webp	date:Fri,%2019%20Apr%202024%2001:13:10%20GMT	https://playiptv.club/uploads/6621c52693e7e.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/6621c52693e7e.webp	(from https://playiptv.club/)
07:52:21	25686/25686	---M--	200	added ('OK')	image/webp	date:Fri,%2019%20Apr%202024%2001:11:06%20GMT	https://playiptv.club/uploads/6621c4aab37cb.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/6621c4aab37cb.webp	(from https://playiptv.club/)
07:52:21	16456/16456	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20May%202025%2010:53:02%20GMT	https://playiptv.club/login/	C:/Meus%20Sites/teste/playiptv.club/login/index.html	(from https://playiptv.club/)
07:52:22	18856/18856	---M--	200	added ('OK')	image/webp	date:Fri,%2019%20Apr%202024%2001:08:32%20GMT	https://playiptv.club/uploads/6621c410ada04.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/6621c410ada04.webp	(from https://playiptv.club/)
07:52:22	8212/8212	---M--	200	added ('OK')	image/webp	date:Fri,%2019%20Apr%202024%2001:06:29%20GMT	https://playiptv.club/uploads/6621c395a22af.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/6621c395a22af.webp	(from https://playiptv.club/)
07:52:22	16866/16866	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20May%202025%2010:53:03%20GMT	https://playiptv.club/cadastro/	C:/Meus%20Sites/teste/playiptv.club/cadastro/index.html	(from https://playiptv.club/)
07:52:22	20140/20140	---M--	200	added ('OK')	image/webp	date:Fri,%2019%20Apr%202024%2001:03:47%20GMT	https://playiptv.club/uploads/6621c2f33c134.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/6621c2f33c134.webp	(from https://playiptv.club/)
07:52:23	64468/64468	---M--	200	added ('OK')	image/webp	date:Fri,%2013%20Oct%202023%2003:50:20%20GMT	https://playiptv.club/img/images/app-playiptv.webp	C:/Meus%20Sites/teste/playiptv.club/img/images/app-playiptv.webp	(from https://playiptv.club/)
07:52:23	20754/20754	---M--	200	added ('OK')	image/webp	date:Fri,%2019%20Apr%202024%2001:01:21%20GMT	https://playiptv.club/uploads/6621c2613e2c8.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/6621c2613e2c8.webp	(from https://playiptv.club/)
07:52:23	20978/20978	---M--	200	added ('OK')	image/webp	date:Tue,%2016%20Jan%202024%2014:28:08%20GMT	https://playiptv.club/uploads/65a6927841a2f.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/65a6927841a2f.webp	(from https://playiptv.club/)
07:52:23	17770/17770	---M--	200	added ('OK')	image/webp	date:Tue,%2016%20Jan%202024%2014:19:45%20GMT	https://playiptv.club/uploads/65a69081dcc58.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/65a69081dcc58.webp	(from https://playiptv.club/)
07:52:23	22406/22406	---M--	200	added ('OK')	image/webp	date:Tue,%2016%20Jan%202024%2014:16:45%20GMT	https://playiptv.club/uploads/65a68fcd47f7e.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/65a68fcd47f7e.webp	(from https://playiptv.club/)
07:52:23	13276/13276	---M--	200	added ('OK')	image/webp	date:Wed,%2006%20Dec%202023%2023:15:45%20GMT	https://playiptv.club/uploads/657100a12bfd8.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/657100a12bfd8.webp	(from https://playiptv.club/)
07:52:24	15040/15040	---M--	200	added ('OK')	image/webp	date:Wed,%2006%20Dec%202023%2023:13:20%20GMT	https://playiptv.club/uploads/6571001088d6d.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/6571001088d6d.webp	(from https://playiptv.club/)
07:52:24	20664/20664	---M--	200	added ('OK')	image/webp	date:Wed,%2006%20Dec%202023%2023:09:55%20GMT	https://playiptv.club/uploads/6570ff43c0071.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/6570ff43c0071.webp	(from https://playiptv.club/)
07:52:24	22272/22272	---M--	200	added ('OK')	image/webp	date:Tue,%2016%20Jan%202024%2014:32:13%20GMT	https://playiptv.club/uploads/65a6936d42c86.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/65a6936d42c86.webp	(from https://playiptv.club/)
07:52:24	26296/26296	---M--	200	added ('OK')	image/webp	date:Tue,%2016%20Jan%202024%2014:30:27%20GMT	https://playiptv.club/uploads/65a69303d2136.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/65a69303d2136.webp	(from https://playiptv.club/)
07:52:25	16094/16094	---M--	200	added ('OK')	image/webp	date:Tue,%2016%20Jan%202024%2014:25:58%20GMT	https://playiptv.club/uploads/65a691f6513fe.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/65a691f6513fe.webp	(from https://playiptv.club/)
07:52:25	20610/20610	---M--	200	added ('OK')	image/webp	date:Tue,%2016%20Jan%202024%2014:21:55%20GMT	https://playiptv.club/uploads/65a69102f1539.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/65a69102f1539.webp	(from https://playiptv.club/)
07:52:25	15370/15370	---M--	200	added ('OK')	image/webp	date:Sun,%2005%20Nov%202023%2012:00:21%20GMT	https://playiptv.club/uploads/654783d536c32.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/654783d536c32.webp	(from https://playiptv.club/)
07:52:25	18850/18850	---M--	200	added ('OK')	image/webp	date:Sun,%2015%20Oct%202023%2013:33:50%20GMT	https://playiptv.club/uploads/652bea3e7d0e3.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/652bea3e7d0e3.webp	(from https://playiptv.club/)
07:52:25	19950/19950	---M--	200	added ('OK')	image/webp	date:Fri,%2013%20Oct%202023%2003:50:32%20GMT	https://playiptv.club/uploads/65246606c968f.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/65246606c968f.webp	(from https://playiptv.club/)
07:52:26	20462/20462	---M--	200	added ('OK')	image/webp	date:Fri,%2013%20Oct%202023%2003:50:32%20GMT	https://playiptv.club/uploads/6524644b9bdf2.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/6524644b9bdf2.webp	(from https://playiptv.club/)
07:52:26	18628/18628	---M--	200	added ('OK')	image/webp	date:Tue,%2016%20Jan%202024%2014:33:40%20GMT	https://playiptv.club/uploads/65a693c4a6a4b.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/65a693c4a6a4b.webp	(from https://playiptv.club/)
07:52:26	5516/5516	---M--	200	added ('OK')	image/webp	date:Sun,%2015%20Oct%202023%2015:34:39%20GMT	https://playiptv.club/uploads/652c068f5ff33.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/652c068f5ff33.webp	(from https://playiptv.club/)
07:52:26	3192/3192	---M--	200	added ('OK')	image/webp	date:Sun,%2015%20Oct%202023%2015:33:51%20GMT	https://playiptv.club/uploads/652c065f10aa9.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/652c065f10aa9.webp	(from https://playiptv.club/)
07:52:27	3344/3344	---M--	200	added ('OK')	image/webp	date:Sun,%2015%20Oct%202023%2015:32:59%20GMT	https://playiptv.club/uploads/652c062b8cc83.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/652c062b8cc83.webp	(from https://playiptv.club/)
07:52:27	1552/1552	---M--	200	added ('OK')	image/webp	date:Sun,%2015%20Oct%202023%2015:32:35%20GMT	https://playiptv.club/uploads/652c061319b6e.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/652c061319b6e.webp	(from https://playiptv.club/)
07:52:27	1930/1930	---M--	200	added ('OK')	image/webp	date:Sun,%2015%20Oct%202023%2015:31:49%20GMT	https://playiptv.club/uploads/652c05e535af2.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/652c05e535af2.webp	(from https://playiptv.club/)
07:52:27	2618/2618	---M--	200	added ('OK')	image/webp	date:Sun,%2015%20Oct%202023%2015:31:09%20GMT	https://playiptv.club/uploads/652c05bde5b5b.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/652c05bde5b5b.webp	(from https://playiptv.club/)
07:52:27	3510/3510	---M--	200	added ('OK')	image/webp	date:Sun,%2015%20Oct%202023%2015:30:03%20GMT	https://playiptv.club/uploads/652c057bd8355.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/652c057bd8355.webp	(from https://playiptv.club/)
07:52:28	1770/1770	---M--	200	added ('OK')	image/webp	date:Sun,%2015%20Oct%202023%2015:26:57%20GMT	https://playiptv.club/uploads/652c04c13b92a.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/652c04c13b92a.webp	(from https://playiptv.club/)
07:52:28	4550/4550	---M--	200	added ('OK')	image/webp	date:Fri,%2013%20Oct%202023%2003:50:31%20GMT	https://playiptv.club/uploads/65245fa521214.webp	C:/Meus%20Sites/teste/playiptv.club/uploads/65245fa521214.webp	(from https://playiptv.club/)
07:52:28	4292/4292	---M--	200	added ('OK')	image/webp	date:Fri,%2013%20Oct%202023%2003:50:11%20GMT	https://playiptv.club/img/google-safe.webp	C:/Meus%20Sites/teste/playiptv.club/img/google-safe.webp	(from https://playiptv.club/)
07:52:28	4680/4680	---M--	200	added ('OK')	image/webp	date:Fri,%2013%20Oct%202023%2003:50:11%20GMT	https://playiptv.club/img/lets-encrypt-badge.webp	C:/Meus%20Sites/teste/playiptv.club/img/lets-encrypt-badge.webp	(from https://playiptv.club/)
07:52:29	25682/25682	---M--	200	added ('OK')	image/webp	date:Fri,%2013%20Oct%202023%2003:50:11%20GMT	https://playiptv.club/img/mercadopago-selo.webp	C:/Meus%20Sites/teste/playiptv.club/img/mercadopago-selo.webp	(from https://playiptv.club/)
07:52:29	107748/107748	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2013%20Oct%202023%2003:50:31%20GMT	https://playiptv.club/js/vendor/jquery-3.6.0.min.js	C:/Meus%20Sites/teste/playiptv.club/js/vendor/jquery-3.6.0.min.js	(from https://playiptv.club/)
07:52:29	19188/19188	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2013%20Oct%202023%2003:50:28%20GMT	https://playiptv.club/js/popper.min.js	C:/Meus%20Sites/teste/playiptv.club/js/popper.min.js	(from https://playiptv.club/)
07:52:29	63467/63467	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2013%20Oct%202023%2003:50:27%20GMT	https://playiptv.club/js/bootstrap.min.js	C:/Meus%20Sites/teste/playiptv.club/js/bootstrap.min.js	(from https://playiptv.club/)
07:52:29	35503/35503	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2013%20Oct%202023%2003:50:27%20GMT	https://playiptv.club/js/isotope.pkgd.min.js	C:/Meus%20Sites/teste/playiptv.club/js/isotope.pkgd.min.js	(from https://playiptv.club/)
07:52:30	5594/5594	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2013%20Oct%202023%2003:50:26%20GMT	https://playiptv.club/js/imagesloaded.pkgd.min.js	C:/Meus%20Sites/teste/playiptv.club/js/imagesloaded.pkgd.min.js	(from https://playiptv.club/)
07:52:30	20216/20216	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2013%20Oct%202023%2003:50:27%20GMT	https://playiptv.club/js/jquery.magnific-popup.min.js	C:/Meus%20Sites/teste/playiptv.club/js/jquery.magnific-popup.min.js	(from https://playiptv.club/)
07:52:30	44342/44342	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2013%20Oct%202023%2003:50:28%20GMT	https://playiptv.club/js/owl.carousel.min.js	C:/Meus%20Sites/teste/playiptv.club/js/owl.carousel.min.js	(from https://playiptv.club/)
07:52:30	12145/12145	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2013%20Oct%202023%2003:50:27%20GMT	https://playiptv.club/js/jquery.odometer.min.js	C:/Meus%20Sites/teste/playiptv.club/js/jquery.odometer.min.js	(from https://playiptv.club/)
07:52:31	4273/4273	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2013%20Oct%202023%2003:50:27%20GMT	https://playiptv.club/js/jquery.appear.js	C:/Meus%20Sites/teste/playiptv.club/js/jquery.appear.js	(from https://playiptv.club/)
07:52:31	42863/42863	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2013%20Oct%202023%2003:50:28%20GMT	https://playiptv.club/js/slick.min.js	C:/Meus%20Sites/teste/playiptv.club/js/slick.min.js	(from https://playiptv.club/)
07:52:31	1202/1202	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2013%20Oct%202023%2003:50:26%20GMT	https://playiptv.club/js/ajax-form.js	C:/Meus%20Sites/teste/playiptv.club/js/ajax-form.js	(from https://playiptv.club/)
07:52:31	8415/8415	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2013%20Oct%202023%2003:50:28%20GMT	https://playiptv.club/js/wow.min.js	C:/Meus%20Sites/teste/playiptv.club/js/wow.min.js	(from https://playiptv.club/)
07:52:31	14690/14690	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2013%20Oct%202023%2003:50:27%20GMT	https://playiptv.club/js/aos.js	C:/Meus%20Sites/teste/playiptv.club/js/aos.js	(from https://playiptv.club/)
07:52:32	760/760	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2013%20Oct%202023%2003:50:28%20GMT	https://playiptv.club/js/plugins.js	C:/Meus%20Sites/teste/playiptv.club/js/plugins.js	(from https://playiptv.club/)
07:52:32	9152/9152	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2013%20Oct%202023%2003:50:27%20GMT	https://playiptv.club/js/main.js	C:/Meus%20Sites/teste/playiptv.club/js/main.js	(from https://playiptv.club/)
07:52:32	82839/82839	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20May%202025%2010:53:13%20GMT	https://playiptv.club/css/owl.video.play.png	C:/Meus%20Sites/teste/playiptv.club/css/owl.video.play.html	(from https://playiptv.club/css/owl.carousel.min.css)
07:52:33	82839/82839	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20May%202025%2010:53:13%20GMT	https://playiptv.club/fonts/Flaticon.eot	C:/Meus%20Sites/teste/playiptv.club/fonts/Flaticon.html	(from https://playiptv.club/css/flaticon.css)
07:52:33	82839/82839	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20May%202025%2010:53:14%20GMT	https://playiptv.club/fonts/Flaticon.eot?	C:/Meus%20Sites/teste/playiptv.club/fonts/Flaticond41d.html	(from https://playiptv.club/css/flaticon.css)
07:52:34	82839/82839	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20May%202025%2010:53:14%20GMT	https://playiptv.club/fonts/Flaticon.woff2	C:/Meus%20Sites/teste/playiptv.club/fonts/Flaticon-2.html	(from https://playiptv.club/css/flaticon.css)
07:52:34	82839/82839	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20May%202025%2010:53:14%20GMT	https://playiptv.club/fonts/Flaticon.woff	C:/Meus%20Sites/teste/playiptv.club/fonts/Flaticon-3.html	(from https://playiptv.club/css/flaticon.css)
07:52:34	82839/82839	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20May%202025%2010:53:15%20GMT	https://playiptv.club/fonts/Flaticon.ttf	C:/Meus%20Sites/teste/playiptv.club/fonts/Flaticon-4.html	(from https://playiptv.club/css/flaticon.css)
07:52:34	82839/82839	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20May%202025%2010:53:15%20GMT	https://playiptv.club/fonts/Flaticon.svg	C:/Meus%20Sites/teste/playiptv.club/fonts/Flaticon-5.html	(from https://playiptv.club/css/flaticon.css)
07:52:35	82839/82839	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20May%202025%2010:53:15%20GMT	https://playiptv.club/img/bg/header_bottom_shape.png	C:/Meus%20Sites/teste/playiptv.club/img/bg/header_bottom_shape.html	(from https://playiptv.club/css/style.css)
07:52:35	82839/82839	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20May%202025%2010:53:15%20GMT	https://playiptv.club/img/images/nw_selarw.png	C:/Meus%20Sites/teste/playiptv.club/img/images/nw_selarw.html	(from https://playiptv.club/css/style.css)
07:52:35	82839/82839	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20May%202025%2010:53:16%20GMT	https://playiptv.club/img/images/title_shape.png	C:/Meus%20Sites/teste/playiptv.club/img/images/title_shape.html	(from https://playiptv.club/css/style.css)
07:52:35	24899/24899	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Oct%202023%2003:50:15%20GMT	https://playiptv.club/img/bg/gallery_bg.jpg	C:/Meus%20Sites/teste/playiptv.club/img/bg/gallery_bg.jpg	(from https://playiptv.club/css/style.css)
07:52:35	2756/2756	---M--	200	added ('OK')	image/webp	date:Fri,%2013%20Oct%202023%2003:50:15%20GMT	https://playiptv.club/img/bg/footer-bg.webp	C:/Meus%20Sites/teste/playiptv.club/img/bg/footer-bg.webp	(from https://playiptv.club/css/style.css)
07:52:36	948/948	---MC-	200	added ('OK')	text/javascript	date:Thu,%2001%20May%202025%2010:53:17%20GMT	https://www.google.com/recaptcha/api.js?render=6Ld32UsoAAAAAAejnWhoalcDUAlTMobNosQV8_HR	C:/Meus%20Sites/teste/www.google.com/recaptcha/apicc5f.js	(from https://playiptv.club/login/)
07:52:37	82839/82839	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20May%202025%2010:53:17%20GMT	https://playiptv.club/minha-conta/	C:/Meus%20Sites/teste/playiptv.club/minha-conta/index.html	(from https://playiptv.club/login/)
